id,hypers,f1_score
21,"{'adam_eps': 9.220649183298805e-05, 'adam_mom': 0.8356077629958709, 'adam_sqr_mom': 0.9576208794030776, 'adam_wd': 0.009651594525822548, 'arc_easymargin': 0, 'arcface_m': 0.12027164135418221, 'arcface_s': 47.02832396544543, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.4554612108511443, 'embs_dim': 768, 'experiment_id': 21, 'label_smooth': 0.057016748732705284, 'lr': 0.007203352096119997, 'lr_mult': 55.0, 'tokens_max_length': 70, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 0}",0.8151796704260131
22,"{'adam_eps': 2.2363141681782194e-05, 'adam_mom': 0.8420292745917765, 'adam_sqr_mom': 0.996733821823081, 'adam_wd': 0.03368651102400757, 'arc_easymargin': 0, 'arcface_m': 0.760027133984831, 'arcface_s': 33.209501210578225, 'bert_path': './indobert-base-p2', 'droput_p': 0.14345551245551627, 'embs_dim': 768, 'experiment_id': 22, 'label_smooth': 0.10767302970626741, 'lr': 0.004992479407630831, 'lr_mult': 61.0, 'tokens_max_length': 28, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 1}",0.8097781584487196
23,"{'adam_eps': 3.1827008136443984e-06, 'adam_mom': 0.9294731474217691, 'adam_sqr_mom': 0.9774396063618089, 'adam_wd': 0.03571636470640436, 'arc_easymargin': 0, 'arcface_m': 0.5027207872065612, 'arcface_s': 24.064649379794453, 'bert_path': './indobert-base-p2', 'droput_p': 0.543620236651402, 'embs_dim': 768, 'experiment_id': 23, 'label_smooth': 0.11541126282592669, 'lr': 0.004397759498160183, 'lr_mult': 47.0, 'tokens_max_length': 29, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 0}",0.799736121760023
24,"{'adam_eps': 7.034241967816624e-05, 'adam_mom': 0.8092949410925492, 'adam_sqr_mom': 0.9569061931940553, 'adam_wd': 0.027713335077348383, 'arc_easymargin': 0, 'arcface_m': 0.39907477438666583, 'arcface_s': 39.67518374084446, 'bert_path': './indobert-base-p2', 'droput_p': 0.21276113402704278, 'embs_dim': 768, 'experiment_id': 24, 'label_smooth': 0.08967307172793848, 'lr': 0.003929632110032572, 'lr_mult': 58.0, 'tokens_max_length': 41, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 1}",0.8100276361244078
25,"{'adam_eps': 5.897719658099591e-05, 'adam_mom': 0.8972769771905341, 'adam_sqr_mom': 0.9873101779391057, 'adam_wd': 0.010104761581492223, 'arc_easymargin': 1, 'arcface_m': 0.6664379838805802, 'arcface_s': 14.547518653323346, 'bert_path': './indobert-base-p2', 'droput_p': 0.4854746188434508, 'embs_dim': 768, 'experiment_id': 25, 'label_smooth': 0.13387818218853295, 'lr': 0.009503197164466157, 'lr_mult': 38.0, 'tokens_max_length': 73, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 0}",0.8018405245177513
26,"{'adam_eps': 5.232950859687431e-05, 'adam_mom': 0.8588142886700858, 'adam_sqr_mom': 0.976622842885057, 'adam_wd': 0.03676256194825534, 'arc_easymargin': 1, 'arcface_m': 0.5603014505359071, 'arcface_s': 43.48392850571754, 'bert_path': './indobert-base-p2', 'droput_p': 0.10041019780685792, 'embs_dim': 768, 'experiment_id': 26, 'label_smooth': 0.10192888215248185, 'lr': 0.0054116417325610865, 'lr_mult': 95.0, 'tokens_max_length': 78, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 0}",0.8131762469223067
27,"{'adam_eps': 4.1802821302617214e-05, 'adam_mom': 0.9147117334769799, 'adam_sqr_mom': 0.9536628863973363, 'adam_wd': 0.022874712810330832, 'arc_easymargin': 1, 'arcface_m': 0.5305416240767415, 'arcface_s': 16.551292158790535, 'bert_path': './indobert-base-p2', 'droput_p': 0.43565448198711876, 'embs_dim': 768, 'experiment_id': 27, 'label_smooth': 0.006846935316598035, 'lr': 0.009005891325480218, 'lr_mult': 26.0, 'tokens_max_length': 49, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 0}",0.8041389911114639
28,"{'adam_eps': 3.1011127241757727e-06, 'adam_mom': 0.9066764474787216, 'adam_sqr_mom': 0.9934901880537257, 'adam_wd': 0.01887097635930537, 'arc_easymargin': 0, 'arcface_m': 0.45492213096907685, 'arcface_s': 13.22462167811528, 'bert_path': './indobert-base-p2', 'droput_p': 0.5291550887779402, 'embs_dim': 768, 'experiment_id': 28, 'label_smooth': 0.12585161014926494, 'lr': 0.007970338143492243, 'lr_mult': 63.0, 'tokens_max_length': 66, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 0}",0.7885168636919863
29,"{'adam_eps': 7.055648695756378e-05, 'adam_mom': 0.9349688626957613, 'adam_sqr_mom': 0.9902439294266951, 'adam_wd': 0.03061726488003828, 'arc_easymargin': 0, 'arcface_m': 0.27582093719634504, 'arcface_s': 31.49814928739012, 'bert_path': './indobert-base-p2', 'droput_p': 0.14384348131385777, 'embs_dim': 768, 'experiment_id': 29, 'label_smooth': 0.05397729283521564, 'lr': 0.0023902341061070613, 'lr_mult': 54.0, 'tokens_max_length': 55, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 0}",0.8041419392659674
30,"{'adam_eps': 2.6347478315994953e-05, 'adam_mom': 0.9195891301599142, 'adam_sqr_mom': 0.9976320046449272, 'adam_wd': 0.03114338369218705, 'arc_easymargin': 1, 'arcface_m': 0.10809467676730855, 'arcface_s': 44.68866033198077, 'bert_path': './indobert-base-p2', 'droput_p': 0.28446638521974577, 'embs_dim': 768, 'experiment_id': 30, 'label_smooth': 0.09755161913024107, 'lr': 0.0072723341613548965, 'lr_mult': 79.0, 'tokens_max_length': 28, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 1}",0.7829220422630705
